,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,scale2_post_mean,scale2_rhat,scale2_ess_bulk,scale2_bias,scale2_abs_bias,scale2_relative_error,scale2_covered,scale2_converged,exponent2_post_mean,exponent2_rhat,exponent2_ess_bulk,exponent2_bias,exponent2_abs_bias,exponent2_relative_error,exponent2_covered,exponent2_converged,weight_post_mean,weight_rhat,weight_ess_bulk,weight_bias,weight_abs_bias,weight_relative_error,weight_covered,weight_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fx2,fx2_post_mean_avg,fx2_post_mean_sd,fx2_post_mean_min,fx2_post_mean_max,fx2_bias_mean,fx2_bias_sd,fx2_rmse,fx2_mae,fx2_coverage_rate,fx2_n_covered,fx2_n_rhat_nan,fx2_rhat_mean,fx2_rhat_max,fx2_n_rhat_above_1.01,fx2_ess_bulk_min,fx2_ess_bulk_mean,fx2_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400,n_fy2,fy2_post_mean_avg,fy2_post_mean_sd,fy2_post_mean_min,fy2_post_mean_max,fy2_bias_mean,fy2_bias_sd,fy2_rmse,fy2_mae,fy2_coverage_rate,fy2_n_covered,fy2_n_rhat_nan,fy2_rhat_mean,fy2_rhat_max,fy2_n_rhat_above_1.01,fy2_ess_bulk_min,fy2_ess_bulk_mean,fy2_n_ess_below_400,n_fz1,fz1_post_mean_avg,fz1_post_mean_sd,fz1_post_mean_min,fz1_post_mean_max,fz1_bias_mean,fz1_bias_sd,fz1_rmse,fz1_mae,fz1_coverage_rate,fz1_n_covered,fz1_n_rhat_nan,fz1_rhat_mean,fz1_rhat_max,fz1_n_rhat_above_1.01,fz1_ess_bulk_min,fz1_ess_bulk_mean,fz1_n_ess_below_400,n_fz2,fz2_post_mean_avg,fz2_post_mean_sd,fz2_post_mean_min,fz2_post_mean_max,fz2_bias_mean,fz2_bias_sd,fz2_rmse,fz2_mae,fz2_coverage_rate,fz2_n_covered,fz2_n_rhat_nan,fz2_rhat_mean,fz2_rhat_max,fz2_n_rhat_above_1.01,fz2_ess_bulk_min,fz2_ess_bulk_mean,fz2_n_ess_below_400
0,0,power_law,4.944,1.0,14084.0,-0.05600000000000005,0.05600000000000005,1.120000000000001,1,1,2.119,1.0,12608.0,0.11900000000000022,0.11900000000000022,5.950000000000011,1,1,2.977,1.0,18113.0,-2.023,2.023,40.46,1,1,2.468,1.0,18705.0,0.46799999999999997,0.46799999999999997,23.4,1,1,0.796,1.0,8759.0,-0.20399999999999996,0.20399999999999996,20.399999999999995,0,1,0.01,1.0,34676.0,0.0,0.0,0.0,1,1,0.313,1.0,43060.0,0.013000000000000012,0.013000000000000012,4.3333333333333375,1,1,18.451,1.0,31151.0,0.4510000000000005,0.4510000000000005,2.5055555555555586,1,1,4,0.0365,0.01628649747490233,0.023,0.064,0.0365,0.01628649747490233,0.039968737783422685,0.0365,1.0,4,0,1.0,1.0,0,16280.0,21998.0,0,4,5.460999999999999,0.30473102894191795,5.194,5.974,5.460999999999999,0.30473102894191795,5.469495589174563,5.460999999999999,1.0,4,0,1.0,1.0,0,17231.0,21382.0,0,4,-0.02975,0.12243850497290466,-0.188,0.15,-0.02975,0.12243850497290466,0.1260009920595866,0.10475,1.0,4,0,1.0,1.0,0,28591.0,30404.75,0,4,28.043,3.4633254972641545,22.566,31.041,28.043,3.4633254972641545,28.256051962367284,28.043,1.0,4,0,1.0,1.0,0,14062.0,15518.75,0,4,0.85975,0.011519006033508283,0.845,0.877,0.25975000000000004,0.011519006033508283,0.2600052884077553,0.25975000000000004,0.0,0,0,1.0,1.0,0,4625.0,6272.0,0,4,0.29975,0.0060156047077579876,0.294,0.308,-0.30025,0.0060156047077579876,0.30031025623511426,0.30025,1.0,4,0,1.0,1.0,0,15472.0,16393.25,0
1,1,power_law,3.56,1.0,13357.0,-1.44,1.44,28.799999999999997,0,1,1.79,1.0,12749.0,-0.20999999999999996,0.20999999999999996,10.499999999999998,1,1,2.895,1.0,16427.0,-2.105,2.105,42.1,1,1,2.538,1.0,16377.0,0.5379999999999998,0.5379999999999998,26.89999999999999,1,1,0.814,1.0,9206.0,-0.18600000000000005,0.18600000000000005,18.600000000000005,0,1,0.015,1.0,31082.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.285,1.0,34328.0,-0.015000000000000013,0.015000000000000013,5.000000000000004,1,1,17.409,1.0,16215.0,-0.5910000000000011,0.5910000000000011,3.2833333333333394,1,1,4,0.05075,0.02286235989568881,0.016,0.078,0.05075,0.02286235989568881,0.055661925945838416,0.05075,1.0,4,0,1.0,1.0,0,9027.0,13079.0,0,4,5.3847499999999995,0.16213169801121555,5.154,5.584,5.3847499999999995,0.16213169801121555,5.387190292722172,5.3847499999999995,1.0,4,0,1.0,1.0,0,14935.0,16952.5,0,4,0.011249999999999996,0.17105463308545607,-0.272,0.152,0.011249999999999996,0.17105463308545607,0.17142418149141037,0.14725,1.0,4,0,1.0,1.0,0,24602.0,28535.5,0,4,27.935,3.646378271655315,25.077,34.152,27.935,3.646378271655315,28.171977202532307,27.935,1.0,4,0,1.0,1.0,0,12358.0,15402.5,0,4,0.874,0.013341664064126346,0.852,0.888,0.274,0.013341664064126346,0.2743246252161844,0.274,0.0,0,0,1.0,1.0,0,4047.0,5673.0,0,4,0.31525,0.003269174207655508,0.31,0.318,-0.28474999999999995,0.003269174207655508,0.28476876584344707,0.28474999999999995,1.0,4,0,1.0,1.0,0,16720.0,17836.75,0
2,2,power_law,4.208,1.0,9702.0,-0.7919999999999998,0.7919999999999998,15.839999999999996,1,1,1.931,1.0,10689.0,-0.06899999999999995,0.06899999999999995,3.4499999999999975,1,1,2.778,1.0,16883.0,-2.222,2.222,44.440000000000005,1,1,2.611,1.0,18409.0,0.6110000000000002,0.6110000000000002,30.55000000000001,1,1,0.802,1.0,9987.0,-0.19799999999999995,0.19799999999999995,19.799999999999997,0,1,0.011,1.0,31711.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.313,1.0,33103.0,0.013000000000000012,0.013000000000000012,4.3333333333333375,1,1,19.145,1.0,26015.0,1.1449999999999996,1.1449999999999996,6.361111111111109,1,1,4,0.07075,0.04572950360544054,0.015,0.123,0.07075,0.04572950360544054,0.08424221032237936,0.07075,1.0,4,0,1.0,1.0,0,4860.0,11912.25,0,4,5.419499999999999,0.29466379146410226,4.961,5.753,5.419499999999999,0.29466379146410226,5.427504675262841,5.419499999999999,1.0,4,0,1.0,1.0,0,16923.0,19276.25,0,4,0.0305,0.07135299573248483,-0.051,0.112,0.0305,0.07135299573248483,0.07759832472418461,0.07050000000000001,1.0,4,0,1.0,1.0,0,17731.0,24784.0,0,4,27.63975,2.2101993546963126,25.27,31.141,27.63975,2.2101993546963126,27.727977950979405,27.63975,1.0,4,0,1.0,1.0,0,12753.0,14427.5,0,4,0.864,0.025524498036200462,0.822,0.885,0.264,0.025524498036200462,0.2652310313669952,0.264,0.0,0,0,1.0,1.0,0,5184.0,6941.0,0,4,0.307,0.006964194138592066,0.302,0.319,-0.293,0.006964194138592066,0.293082752819063,0.293,1.0,4,0,1.0,1.0,0,13804.0,14845.0,0
3,3,power_law,4.19,1.0,11314.0,-0.8099999999999996,0.8099999999999996,16.199999999999992,1,1,1.952,1.0,12421.0,-0.04800000000000004,0.04800000000000004,2.400000000000002,1,1,2.84,1.0,14729.0,-2.16,2.16,43.2,1,1,2.626,1.0,18278.0,0.6259999999999999,0.6259999999999999,31.299999999999994,1,1,0.821,1.0,10998.0,-0.17900000000000005,0.17900000000000005,17.900000000000006,0,1,0.012,1.0,26668.0,0.002,0.002,20.0,1,1,0.299,1.0,35676.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,18.267,1.0,25522.0,0.26699999999999946,0.26699999999999946,1.4833333333333303,1,1,4,0.0775,0.04281062952118317,0.028,0.122,0.0775,0.04281062952118317,0.08853812738024223,0.0775,1.0,4,0,1.0,1.0,0,3216.0,9520.25,0,4,5.303,0.5935301171802491,4.289,5.759,5.303,0.5935301171802491,5.336111599282758,5.303,1.0,4,0,1.0,1.0,0,10697.0,16217.25,0,4,-0.039,0.19287431140512207,-0.35,0.141,-0.039,0.19287431140512207,0.19677779346257543,0.15999999999999998,1.0,4,0,1.0,1.0,0,22248.0,25230.25,0,4,26.68825,2.162807709321381,23.159,28.83,26.68825,2.162807709321381,26.775743224978832,26.68825,1.0,4,0,1.0,1.0,0,9523.0,12650.75,0,4,0.8815000000000001,0.012257650672131274,0.87,0.902,0.28150000000000003,0.012257650672131274,0.2817667475058049,0.28150000000000003,0.0,0,0,1.0,1.0,0,4724.0,7440.25,0,4,0.3435,0.004821825380496459,0.338,0.351,-0.2565,0.004821825380496459,0.2565453176341365,0.2565,1.0,4,0,1.0,1.0,0,13559.0,14204.75,0
4,4,power_law,3.534,1.0,10963.0,-1.4660000000000002,1.4660000000000002,29.32,0,1,1.85,1.0,11944.0,-0.1499999999999999,0.1499999999999999,7.499999999999996,1,1,2.706,1.0,14903.0,-2.294,2.294,45.879999999999995,1,1,2.596,1.0,16287.0,0.5960000000000001,0.5960000000000001,29.800000000000004,1,1,0.829,1.0,8818.0,-0.17100000000000004,0.17100000000000004,17.100000000000005,0,1,0.015,1.0,24791.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.282,1.0,30267.0,-0.018000000000000016,0.018000000000000016,6.000000000000005,1,1,19.341,1.0,26392.0,1.341000000000001,1.341000000000001,7.450000000000006,1,1,4,0.078,0.04507216435894775,0.009,0.128,0.078,0.04507216435894775,0.09008606995534882,0.078,1.0,4,0,1.0,1.0,0,2480.0,8028.75,0,4,5.47,0.15536087023443163,5.315,5.677,5.47,0.15536087023443163,5.4722058623556915,5.47,1.0,4,0,1.0,1.0,0,14897.0,16375.5,0,4,-0.1035,0.22747911992092812,-0.477,0.137,-0.1035,0.22747911992092812,0.24991798654758723,0.17200000000000001,0.75,3,0,1.0,1.0,0,17840.0,21990.0,0,4,28.444000000000003,1.6896717136769495,27.135,31.305,28.444000000000003,1.6896717136769495,28.494141968130922,28.444000000000003,1.0,4,0,1.0,1.0,0,11419.0,15862.0,0,4,0.8867499999999999,0.004710360920354197,0.881,0.894,0.28675000000000006,0.004710360920354197,0.28678868527192636,0.28675000000000006,0.0,0,0,1.0,1.0,0,5094.0,5662.25,0,4,0.2985,0.0026925824035672545,0.296,0.303,-0.3015,0.0026925824035672545,0.3015120229775257,0.3015,1.0,4,0,1.0,1.0,0,15743.0,16703.25,0
5,5,power_law,4.451,1.0,12633.0,-0.5490000000000004,0.5490000000000004,10.980000000000008,1,1,2.003,1.0,12246.0,0.0030000000000001137,0.0030000000000001137,0.15000000000000568,1,1,3.524,1.0,16891.0,-1.476,1.476,29.520000000000003,1,1,2.215,1.0,14899.0,0.21499999999999986,0.21499999999999986,10.749999999999993,1,1,0.8,1.0,16440.0,-0.19999999999999996,0.19999999999999996,19.999999999999996,0,1,0.012,1.0,32075.0,0.002,0.002,20.0,1,1,0.299,1.0,35682.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,17.093,1.0,28243.0,-0.907,0.907,5.03888888888889,1,1,4,0.10800000000000001,0.014195069566578391,0.094,0.131,0.10800000000000001,0.014195069566578391,0.10892887587779469,0.10800000000000001,1.0,4,0,1.0,1.0,0,6097.0,9319.5,0,4,5.426,0.450902982913176,4.913,6.056,5.426,0.450902982913176,5.44470288445568,5.426,1.0,4,0,1.0,1.0,0,16340.0,23670.5,0,4,-0.233,0.18046190733780912,-0.487,0.013,-0.233,0.18046190733780912,0.29471257183907174,0.23950000000000002,1.0,4,0,1.0,1.0,0,25184.0,28710.0,0,4,29.15025,6.053611375658336,24.281,39.515,29.15025,6.053611375658336,29.77218980441311,29.15025,1.0,4,0,1.0,1.0,0,10748.0,11771.75,0,4,0.8634999999999999,0.01145643923738961,0.849,0.88,0.2635,0.01145643923738961,0.2637489336471334,0.2635,0.0,0,0,1.0,1.0,0,7339.0,9535.25,0,4,0.3105,0.013162446581088194,0.296,0.326,-0.2895,0.013162446581088194,0.2897990683214837,0.2895,1.0,4,0,1.0,1.0,0,14714.0,15973.5,0
6,6,power_law,4.422,1.0,10119.0,-0.5780000000000003,0.5780000000000003,11.560000000000006,1,1,1.951,1.0,9545.0,-0.04899999999999993,0.04899999999999993,2.4499999999999966,1,1,3.123,1.0,16616.0,-1.8769999999999998,1.8769999999999998,37.53999999999999,1,1,2.364,1.0,14372.0,0.3639999999999999,0.3639999999999999,18.199999999999996,1,1,0.81,1.0,15142.0,-0.18999999999999995,0.18999999999999995,18.999999999999993,0,1,0.005,1.0,29506.0,-0.005,0.005,50.0,1,1,0.286,1.0,35789.0,-0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,16.19,1.0,28149.0,-1.8099999999999987,1.8099999999999987,10.055555555555548,1,1,4,0.128,0.07417209717946499,0.049,0.249,0.128,0.07417209717946499,0.14793748679763355,0.128,1.0,4,0,1.0,1.0,0,920.0,8655.5,0,4,5.5295000000000005,0.18765593515793724,5.312,5.814,5.5295000000000005,0.18765593515793724,5.532683345357838,5.5295000000000005,1.0,4,0,1.0,1.0,0,19917.0,22615.5,0,4,-0.12975,0.24118392877635939,-0.395,0.223,-0.12975,0.24118392877635939,0.2738699508891036,0.24125,0.75,3,0,1.0,1.0,0,24098.0,26767.5,0,4,28.4255,2.9328133677409483,24.852,32.963,28.4255,2.9328133677409483,28.57639663253574,28.4255,1.0,4,0,1.0,1.0,0,12476.0,17095.0,0,4,0.86275,0.012517487767120057,0.842,0.874,0.26275000000000004,0.012517487767120057,0.2630479994221587,0.26275000000000004,0.0,0,0,1.0,1.0,0,6591.0,8803.25,0,4,0.29575,0.004918078893226505,0.292,0.304,-0.30425,0.004918078893226505,0.3042897467874986,0.30425,1.0,4,0,1.0,1.0,0,17881.0,18614.75,0
7,7,power_law,4.692,1.01,13365.0,-0.30799999999999983,0.30799999999999983,6.159999999999997,1,1,2.048,1.01,12657.0,0.04800000000000004,0.04800000000000004,2.400000000000002,1,1,2.864,1.0,3472.0,-2.136,2.136,42.72,1,1,2.578,1.0,1642.0,0.5779999999999998,0.5779999999999998,28.89999999999999,1,1,0.798,1.0,5998.0,-0.20199999999999996,0.20199999999999996,20.199999999999996,0,1,0.012,1.0,19992.0,0.002,0.002,20.0,1,1,0.303,1.0,20869.0,0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,18.343,1.01,30352.0,0.34299999999999997,0.34299999999999997,1.9055555555555554,1,1,4,0.1095,0.09870790241920857,0.022,0.277,0.1095,0.09870790241920857,0.14742286118509573,0.1095,1.0,4,0,1.0,1.0,0,837.0,6355.25,0,4,5.41625,0.4524468891483288,4.64,5.749,5.41625,0.4524468891483288,5.435114741199122,5.41625,1.0,4,0,1.0025,1.01,0,816.0,9215.0,0,4,-0.104,0.0719478978150161,-0.183,0.004,-0.104,0.0719478978150161,0.12646145657867458,0.106,1.0,4,0,1.0,1.0,0,1735.0,3289.25,0,4,27.984499999999997,2.065483054880868,24.656,30.312,27.984499999999997,2.065483054880868,28.06062117095771,27.984499999999997,1.0,4,0,1.0,1.0,0,3363.0,5037.25,0,4,0.85625,0.007595228765481662,0.847,0.866,0.25625,0.007595228765481662,0.2563625362645642,0.25625,0.0,0,0,1.0,1.0,0,3878.0,4707.25,0,4,0.2985,0.0025000000000000022,0.296,0.301,-0.3015,0.0025000000000000022,0.30151036466430137,0.3015,1.0,4,0,1.0,1.0,0,13399.0,15371.75,0
8,8,power_law,5.197,1.0,12040.0,0.19700000000000006,0.19700000000000006,3.9400000000000013,1,1,2.141,1.0,12525.0,0.14100000000000001,0.14100000000000001,7.050000000000001,1,1,2.998,1.0,19073.0,-2.002,2.002,40.04,1,1,2.474,1.0,19447.0,0.4740000000000002,0.4740000000000002,23.70000000000001,1,1,0.849,1.0,16332.0,-0.15100000000000002,0.15100000000000002,15.100000000000001,0,1,0.009,1.0,36058.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.276,1.0,40776.0,-0.023999999999999966,0.023999999999999966,7.999999999999989,1,1,16.425,1.0,30828.0,-1.5749999999999993,1.5749999999999993,8.749999999999996,1,1,4,0.15825,0.08832150077982144,0.03,0.267,0.15825,0.08832150077982144,0.18122844699439436,0.15825,1.0,4,0,1.0,1.0,0,4014.0,7911.5,0,4,5.453250000000001,0.5738424762075394,4.507,5.956,5.453250000000001,0.5738424762075394,5.483359440160749,5.453250000000001,1.0,4,0,1.0,1.0,0,18961.0,21034.0,0,4,-0.008999999999999994,0.19305569144679469,-0.224,0.226,-0.008999999999999994,0.19305569144679469,0.19326536161454283,0.1895,1.0,4,0,1.0,1.0,0,22615.0,24088.0,0,4,28.1215,2.7060157519866723,24.8,32.071,28.1215,2.7060157519866723,28.251394363818576,28.1215,1.0,4,0,1.0,1.0,0,15747.0,18664.25,0,4,0.8527500000000001,0.04684749192859742,0.79,0.922,0.25275000000000003,0.04684749192859742,0.25705495521386085,0.25275000000000003,0.0,0,0,1.0,1.0,0,7702.0,11190.25,0,4,0.3305,0.009069178573608514,0.319,0.344,-0.26949999999999996,0.009069178573608514,0.26965255422487655,0.26949999999999996,1.0,4,0,1.0,1.0,0,18201.0,18850.75,0
9,9,power_law,4.166,1.0,10533.0,-0.8339999999999996,0.8339999999999996,16.679999999999993,1,1,1.923,1.0,10967.0,-0.07699999999999996,0.07699999999999996,3.849999999999998,1,1,2.609,1.0,14029.0,-2.391,2.391,47.82,1,1,2.707,1.0,16446.0,0.7069999999999999,0.7069999999999999,35.349999999999994,1,1,0.796,1.0,7282.0,-0.20399999999999996,0.20399999999999996,20.399999999999995,0,1,0.011,1.0,25746.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.289,1.0,26487.0,-0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,19.385,1.0,22727.0,1.3850000000000016,1.3850000000000016,7.6944444444444535,1,1,4,0.03575,0.017893783836852396,0.02,0.066,0.03575,0.017893783836852396,0.039978119015281345,0.03575,1.0,4,0,1.0,1.0,0,10609.0,15478.0,0,4,5.280749999999999,0.0683936217786425,5.178,5.356,5.280749999999999,0.0683936217786425,5.281192881347925,5.280749999999999,1.0,4,0,1.0,1.0,0,14420.0,15457.5,0,4,-0.22199999999999998,0.06071243694664216,-0.288,-0.144,-0.22199999999999998,0.06071243694664216,0.23015212360523638,0.22199999999999998,1.0,4,0,1.0,1.0,0,22529.0,24387.75,0,4,27.847499999999997,1.4104945054838032,26.457,29.985,27.847499999999997,1.4104945054838032,27.88319836388932,27.847499999999997,1.0,4,0,1.0,1.0,0,12510.0,14092.25,0,4,0.8664999999999999,0.009861541461658019,0.853,0.879,0.2665,0.009861541461658019,0.2666823953694732,0.2665,0.0,0,0,1.0,1.0,0,4605.0,5741.75,0,4,0.313,0.0029154759474226528,0.311,0.318,-0.287,0.0029154759474226528,0.2870148079803549,0.287,1.0,4,0,1.0,1.0,0,14961.0,15756.75,0
10,10,power_law,4.227,1.0,12527.0,-0.7729999999999997,0.7729999999999997,15.459999999999994,1,1,1.95,1.0,12757.0,-0.050000000000000044,0.050000000000000044,2.500000000000002,1,1,2.74,1.0,16855.0,-2.26,2.26,45.199999999999996,1,1,2.571,1.0,18579.0,0.5710000000000002,0.5710000000000002,28.550000000000008,1,1,0.816,1.0,9072.0,-0.18400000000000005,0.18400000000000005,18.400000000000006,0,1,0.011,1.0,35183.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.311,1.0,37645.0,0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,19.229,1.0,31089.0,1.2289999999999992,1.2289999999999992,6.827777777777773,1,1,4,0.0495,0.026846787517317595,0.021,0.089,0.0495,0.026846787517317595,0.05631163290120435,0.0495,1.0,4,0,1.0,1.0,0,6825.0,12531.0,0,4,5.500249999999999,0.2669338635317744,5.121,5.806,5.500249999999999,0.2669338635317744,5.506723504044851,5.500249999999999,1.0,4,0,1.0,1.0,0,18664.0,21082.5,0,4,-0.0235,0.0755132438715223,-0.106,0.082,-0.0235,0.0755132438715223,0.0790853968821046,0.071,1.0,4,0,1.0,1.0,0,24826.0,25850.0,0,4,28.43675,1.070964372656719,26.752,29.621,28.43675,1.070964372656719,28.4569097979735,28.43675,1.0,4,0,1.0,1.0,0,17249.0,18282.5,0,4,0.8705,0.02609118625129952,0.83,0.898,0.2705,0.02609118625129952,0.2717554047300624,0.2705,0.0,0,0,1.0,1.0,0,5437.0,7251.25,0,4,0.2935,0.005894913061275803,0.288,0.302,-0.3065,0.005894913061275803,0.3065566831762113,0.3065,1.0,4,0,1.0,1.0,0,14859.0,15984.25,0
11,11,power_law,4.498,1.0,13208.0,-0.5019999999999998,0.5019999999999998,10.039999999999996,1,1,1.97,1.0,12810.0,-0.030000000000000027,0.030000000000000027,1.5000000000000013,1,1,2.885,1.0,19847.0,-2.115,2.115,42.300000000000004,1,1,2.466,1.0,19255.0,0.4660000000000002,0.4660000000000002,23.30000000000001,1,1,0.799,1.0,12750.0,-0.20099999999999996,0.20099999999999996,20.099999999999994,0,1,0.008,1.0,33584.0,-0.002,0.002,20.0,1,1,0.295,1.0,38765.0,-0.0050000000000000044,0.0050000000000000044,1.6666666666666683,1,1,17.548,1.0,20083.0,-0.45200000000000173,0.45200000000000173,2.511111111111121,1,1,4,0.06075,0.02843743131859838,0.018,0.092,0.06075,0.02843743131859838,0.06707644892210678,0.06075,1.0,4,0,1.0,1.0,0,8972.0,15079.25,0,4,5.60125,0.35653146775565275,4.986,5.838,5.60125,0.35653146775565275,5.612585522733707,5.60125,1.0,4,0,1.0,1.0,0,19793.0,23472.5,0,4,-0.013500000000000002,0.09276448673926893,-0.126,0.083,-0.013500000000000002,0.09276448673926893,0.09374166629626338,0.09150000000000001,1.0,4,0,1.0,1.0,0,25641.0,29033.25,0,4,29.40325,2.8579883112952023,25.811,32.645,29.40325,2.8579883112952023,29.541821334338884,29.40325,1.0,4,0,1.0,1.0,0,19007.0,19548.5,0,4,0.84575,0.01867317594840258,0.833,0.878,0.24575,0.018673175948402582,0.24645841434205487,0.24575,0.0,0,0,1.0,1.0,0,5562.0,8798.25,0,4,0.2885,0.005678908345800279,0.283,0.298,-0.3115,0.005678908345800279,0.3115517613495389,0.3115,1.0,4,0,1.0,1.0,0,18831.0,19500.25,0
12,12,power_law,4.62,1.0,10878.0,-0.3799999999999999,0.3799999999999999,7.599999999999999,1,1,1.967,1.0,13063.0,-0.03299999999999992,0.03299999999999992,1.649999999999996,1,1,2.649,1.0,15511.0,-2.351,2.351,47.02,1,1,2.72,1.0,16004.0,0.7200000000000002,0.7200000000000002,36.00000000000001,1,1,0.775,1.0,11188.0,-0.22499999999999998,0.22499999999999998,22.499999999999996,0,1,0.012,1.0,27535.0,0.002,0.002,20.0,1,1,0.302,1.0,26455.0,0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,17.007,1.0,23872.0,-0.9929999999999986,0.9929999999999986,5.516666666666659,1,1,4,0.05875,0.017122718826167765,0.031,0.076,0.05875,0.017122718826167765,0.06119436248544469,0.05875,1.0,4,0,1.0,1.0,0,8371.0,14397.5,0,4,5.25275,0.49193412922870056,4.474,5.829,5.25275,0.49193412922870056,5.275735185734781,5.25275,1.0,4,0,1.0,1.0,0,12462.0,14459.25,0,4,-0.072,0.19832170834278326,-0.293,0.247,-0.072,0.19832170834278326,0.21098696642209916,0.1955,1.0,4,0,1.0,1.0,0,18956.0,22632.5,0,4,27.457499999999996,2.166421992595164,25.32,30.701,27.457499999999996,2.166421992595164,27.542833741283776,27.457499999999996,1.0,4,0,1.0,1.0,0,11592.0,13751.25,0,4,0.8432499999999999,0.024014318645341554,0.808,0.87,0.24325000000000002,0.024014318645341554,0.244432506021601,0.24325000000000002,0.0,0,0,1.0,1.0,0,5190.0,7444.25,0,4,0.34675,0.0008291561975888507,0.346,0.348,-0.25325,0.0008291561975888507,0.2532513573507554,0.25325,1.0,4,0,1.0,1.0,0,13622.0,14041.75,0
13,13,power_law,4.208,1.0,10762.0,-0.7919999999999998,0.7919999999999998,15.839999999999996,1,1,1.953,1.0,11247.0,-0.04699999999999993,0.04699999999999993,2.3499999999999965,1,1,2.809,1.0,20774.0,-2.191,2.191,43.82,1,1,2.498,1.0,20850.0,0.4980000000000002,0.4980000000000002,24.900000000000013,1,1,0.821,1.0,12129.0,-0.17900000000000005,0.17900000000000005,17.900000000000006,0,1,0.007,1.0,37459.0,-0.003,0.003,30.0,1,1,0.296,1.0,40510.0,-0.0040000000000000036,0.0040000000000000036,1.3333333333333346,1,1,18.466,1.0,32392.0,0.4660000000000011,0.4660000000000011,2.588888888888895,1,1,4,0.079,0.035362409420173845,0.033,0.128,0.079,0.035362409420173845,0.08655345169315895,0.079,1.0,4,0,1.0,1.0,0,4555.0,10610.0,0,4,5.585,0.05554727716099148,5.489,5.62,5.585,0.05554727716099148,5.585276224145051,5.585,1.0,4,0,1.0,1.0,0,21389.0,25506.25,0,4,-0.06974999999999999,0.20883770612607291,-0.41,0.105,-0.06974999999999999,0.20883770612607291,0.22017776908670864,0.17125,1.0,4,0,1.0,1.0,0,28614.0,33357.0,0,4,29.50125,2.6062035007842344,25.58,32.425,29.50125,2.6062035007842344,29.616145060591528,29.50125,1.0,4,0,1.0,1.0,0,18103.0,19598.5,0,4,0.8667499999999999,0.019917015338649532,0.835,0.89,0.26675000000000004,0.019917015338649532,0.26749252325999695,0.26675000000000004,0.0,0,0,1.0,1.0,0,5208.0,7152.0,0,4,0.30424999999999996,0.002861380785564902,0.301,0.308,-0.29574999999999996,0.002861380785564902,0.29576384160339814,0.29574999999999996,1.0,4,0,1.0,1.0,0,18171.0,18548.0,0
