,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,scale2_post_mean,scale2_rhat,scale2_ess_bulk,scale2_bias,scale2_abs_bias,scale2_relative_error,scale2_covered,scale2_converged,exponent2_post_mean,exponent2_rhat,exponent2_ess_bulk,exponent2_bias,exponent2_abs_bias,exponent2_relative_error,exponent2_covered,exponent2_converged,weight_post_mean,weight_rhat,weight_ess_bulk,weight_bias,weight_abs_bias,weight_relative_error,weight_covered,weight_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fx2,fx2_post_mean_avg,fx2_post_mean_sd,fx2_post_mean_min,fx2_post_mean_max,fx2_bias_mean,fx2_bias_sd,fx2_rmse,fx2_mae,fx2_coverage_rate,fx2_n_covered,fx2_n_rhat_nan,fx2_rhat_mean,fx2_rhat_max,fx2_n_rhat_above_1.01,fx2_ess_bulk_min,fx2_ess_bulk_mean,fx2_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400,n_fy2,fy2_post_mean_avg,fy2_post_mean_sd,fy2_post_mean_min,fy2_post_mean_max,fy2_bias_mean,fy2_bias_sd,fy2_rmse,fy2_mae,fy2_coverage_rate,fy2_n_covered,fy2_n_rhat_nan,fy2_rhat_mean,fy2_rhat_max,fy2_n_rhat_above_1.01,fy2_ess_bulk_min,fy2_ess_bulk_mean,fy2_n_ess_below_400
0,0,power_law,5.203,1.0,18942.0,0.2030000000000003,0.2030000000000003,4.060000000000006,1,1,2.213,1.0,18499.0,0.21300000000000008,0.21300000000000008,10.650000000000004,1,1,5.381,1.0,22151.0,0.3810000000000002,0.3810000000000002,7.6200000000000045,1,1,2.352,1.0,24768.0,0.35199999999999987,0.35199999999999987,17.599999999999994,1,1,0.76,1.0,9386.0,-0.18999999999999995,0.18999999999999995,19.999999999999996,0,1,0.012,1.0,49162.0,0.002,0.002,20.0,1,1,0.312,1.0,34985.0,0.01200000000000001,0.01200000000000001,4.0000000000000036,1,1,19.195,1.0,41362.0,1.1950000000000003,1.1950000000000003,6.63888888888889,1,1,4,0.057,0.030083217912982647,0.034,0.108,0.057,0.030083217912982647,0.06445153217728807,0.057,1.0,4,0,1.0,1.0,0,12927.0,20768.25,0,4,2.806,0.5002214509594726,2.39,3.66,2.806,0.5002214509594726,2.850238147944834,2.806,1.0,4,0,1.0,1.0,0,8816.0,19666.5,0,4,-0.07325000000000001,0.16557079301615973,-0.339,0.104,-0.07325000000000001,0.16557079301615973,0.18105040734557876,0.13225,1.0,4,0,1.0,1.0,0,9769.0,30552.5,0,4,53.649,1.5327635173111356,51.979,55.463,3.648999999999999,1.5327635173111356,3.957848531715179,3.648999999999999,1.0,4,0,1.0,1.0,0,12634.0,14435.5,0
1,1,power_law,3.671,1.0,15490.0,-1.3290000000000002,1.3290000000000002,26.580000000000005,1,1,1.828,1.0,15755.0,-0.17199999999999993,0.17199999999999993,8.599999999999996,1,1,4.986,1.0,22903.0,-0.014000000000000234,0.014000000000000234,0.2800000000000047,1,1,2.23,1.0,22805.0,0.22999999999999998,0.22999999999999998,11.5,1,1,0.765,1.0,16186.0,-0.18499999999999994,0.18499999999999994,19.473684210526308,0,1,0.011,1.0,48542.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.296,1.0,51026.0,-0.0040000000000000036,0.0040000000000000036,1.3333333333333346,1,1,17.757,1.0,39511.0,-0.24299999999999855,0.24299999999999855,1.349999999999992,1,1,4,0.057999999999999996,0.028098042636454233,0.016,0.086,0.057999999999999996,0.028098042636454233,0.06444765317682251,0.057999999999999996,1.0,4,0,1.0,1.0,0,9536.0,17461.5,0,4,2.89875,0.9871090048723089,1.325,4.005,2.89875,0.9871090048723089,3.0622109251323626,2.89875,1.0,4,0,1.0,1.0,0,9904.0,14374.75,0,4,0.056749999999999995,0.1950850775943665,-0.275,0.223,0.056749999999999995,0.1950850775943665,0.20317172539504605,0.19425,1.0,4,0,1.0,1.0,0,33913.0,35628.0,0,4,52.053,1.1247077398151049,50.956,53.84,2.053000000000001,1.1247077398151049,2.3408922444230544,2.053000000000001,1.0,4,0,1.0,1.0,0,10174.0,12092.0,0
2,2,power_law,4.601,1.0,15887.0,-0.399,0.399,7.980000000000001,1,1,2.004,1.0,16413.0,0.0040000000000000036,0.0040000000000000036,0.20000000000000018,1,1,4.91,1.0,20438.0,-0.08999999999999986,0.08999999999999986,1.7999999999999972,1,1,2.327,1.0,22481.0,0.32699999999999996,0.32699999999999996,16.349999999999998,1,1,0.743,1.0,13029.0,-0.20699999999999996,0.20699999999999996,21.789473684210524,0,1,0.008,1.0,49991.0,-0.002,0.002,20.0,1,1,0.31,1.0,42010.0,0.010000000000000009,0.010000000000000009,3.3333333333333366,1,1,19.12,1.0,46058.0,1.120000000000001,1.120000000000001,6.222222222222228,1,1,4,0.0615,0.032499999999999994,0.017,0.106,0.0615,0.032499999999999994,0.0695593271962862,0.0615,1.0,4,0,1.0,1.0,0,6578.0,22820.5,0,4,3.0092499999999998,1.0654720491406613,1.788,4.156,3.0092499999999998,1.0654720491406613,3.192305788924363,3.0092499999999998,1.0,4,0,1.0,1.0,0,11891.0,16932.25,0,4,0.037000000000000005,0.08180770134895614,-0.072,0.131,0.037000000000000005,0.08180770134895614,0.08978585634719982,0.07800000000000001,1.0,4,0,1.0,1.0,0,38737.0,41140.75,0,4,52.796749999999996,0.6535393542090648,51.808,53.636,2.796750000000001,0.6535393542090648,2.872094053125699,2.796750000000001,1.0,4,0,1.0,1.0,0,10710.0,11729.5,0
3,3,power_law,3.764,1.0,14763.0,-1.2360000000000002,1.2360000000000002,24.720000000000002,1,1,1.847,1.0,15171.0,-0.15300000000000002,0.15300000000000002,7.650000000000001,1,1,4.302,1.0,17196.0,-0.6980000000000004,0.6980000000000004,13.960000000000008,1,1,2.531,1.0,18466.0,0.5310000000000001,0.5310000000000001,26.550000000000008,1,1,0.776,1.0,12451.0,-0.17399999999999993,0.17399999999999993,18.315789473684205,0,1,0.005,1.0,27207.0,-0.005,0.005,50.0,1,1,0.291,1.0,40428.0,-0.009000000000000008,0.009000000000000008,3.0000000000000027,1,1,18.064,1.0,31419.0,0.06400000000000006,0.06400000000000006,0.3555555555555559,1,1,4,0.07800000000000001,0.037795502377928517,0.026,0.117,0.07800000000000001,0.037795502377928517,0.08667467911679858,0.07800000000000001,1.0,4,0,1.0,1.0,0,4624.0,11686.5,0,4,1.61475,1.1671502420425572,0.718,3.62,1.61475,1.1671502420425572,1.9923998720136478,1.61475,1.0,4,0,1.0,1.0,0,2043.0,10650.75,0,4,-0.04075000000000001,0.208557396176688,-0.373,0.148,-0.04075000000000001,0.208557396176688,0.2125011764673316,0.17725,1.0,4,0,1.0,1.0,0,9044.0,16753.0,0,4,51.43475,1.148390476928471,49.716,52.874,1.434750000000001,1.148390476928471,1.8377454257867176,1.5767500000000005,1.0,4,0,1.0,1.0,0,4934.0,9433.5,0
4,4,power_law,3.92,1.0,10133.0,-1.08,1.08,21.6,1,1,1.949,1.0,10150.0,-0.050999999999999934,0.050999999999999934,2.5499999999999967,1,1,5.496,1.0,21559.0,0.49600000000000044,0.49600000000000044,9.920000000000009,1,1,2.146,1.0,20087.0,0.1459999999999999,0.1459999999999999,7.299999999999995,1,1,0.762,1.0,8198.0,-0.18799999999999994,0.18799999999999994,19.78947368421052,0,1,0.011,1.0,3136.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.299,1.0,10750.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,18.832,1.0,39877.0,0.8320000000000007,0.8320000000000007,4.622222222222226,1,1,4,0.07275000000000001,0.04515736374059053,0.009,0.134,0.07275000000000001,0.04515736374059053,0.0856256386837494,0.07275000000000001,1.0,4,0,1.0,1.0,0,6133.0,12822.25,0,4,2.9615,0.5045009910793041,2.131,3.398,2.9615,0.5045009910793041,3.004164359684736,2.9615,1.0,4,0,1.0,1.0,0,4638.0,17766.5,0,4,-0.12300000000000001,0.24776299158671783,-0.538,0.115,-0.12300000000000001,0.24776299158671783,0.2766143524837423,0.18050000000000002,0.75,3,0,1.0,1.0,0,10345.0,27343.0,0,4,54.315749999999994,1.0298583337042044,53.336,55.802,4.3157499999999995,1.0298583337042044,4.4369253148999475,4.3157499999999995,1.0,4,0,1.0,1.0,0,7474.0,9931.5,0
5,5,power_law,5.158,1.0,11684.0,0.15800000000000036,0.15800000000000036,3.1600000000000072,1,1,2.148,1.0,11950.0,0.14800000000000013,0.14800000000000013,7.400000000000007,1,1,4.534,1.0,14835.0,-0.4660000000000002,0.4660000000000002,9.320000000000004,1,1,2.308,1.0,16091.0,0.30799999999999983,0.30799999999999983,15.399999999999991,1,1,0.741,1.0,12698.0,-0.20899999999999996,0.20899999999999996,21.999999999999996,0,1,0.008,1.0,27422.0,-0.002,0.002,20.0,1,1,0.309,1.0,41287.0,0.009000000000000008,0.009000000000000008,3.0000000000000027,1,1,17.267,1.0,34916.0,-0.7330000000000005,0.7330000000000005,4.072222222222225,1,1,4,0.10875,0.029961433543807616,0.084,0.159,0.10875,0.029961433543807616,0.11280181736124645,0.10875,1.0,4,0,1.0,1.0,0,4829.0,10930.5,0,4,1.9685000000000001,0.4462989468954638,1.395,2.523,1.9685000000000001,0.4462989468954638,2.0184585702956603,1.9685000000000001,1.0,4,0,1.0,1.0,0,7110.0,13962.0,0,4,-0.24575,0.19782615474198548,-0.572,-0.052,-0.24575,0.19782615474198548,0.31548098199416075,0.24575,1.0,4,0,1.0,1.0,0,21841.0,33326.75,0,4,52.747,1.281767919710896,51.0,54.144,2.747,1.281767919710896,3.031326112446498,2.747,1.0,4,0,1.0,1.0,0,7227.0,8161.0,0
6,6,power_law,5.021,1.0,16824.0,0.020999999999999908,0.020999999999999908,0.41999999999999815,1,1,2.059,1.0,16946.0,0.05900000000000016,0.05900000000000016,2.950000000000008,1,1,5.022,1.0,14950.0,0.02200000000000024,0.02200000000000024,0.4400000000000048,1,1,2.408,1.0,15145.0,0.4079999999999999,0.4079999999999999,20.399999999999995,1,1,0.721,1.0,17340.0,-0.22899999999999998,0.22899999999999998,24.105263157894736,0,1,0.005,1.0,42320.0,-0.005,0.005,50.0,1,1,0.277,1.0,43621.0,-0.022999999999999965,0.022999999999999965,7.666666666666655,1,1,16.148,1.0,41099.0,-1.8520000000000003,1.8520000000000003,10.28888888888889,1,1,4,0.1405,0.10011118818593653,0.034,0.305,0.1405,0.10011118818593653,0.17251811499086117,0.1405,1.0,4,0,1.0,1.0,0,2495.0,12661.25,0,4,1.8635,0.5088872664942601,1.32,2.692,1.8635,0.5088872664942601,1.9317345832178914,1.8635,1.0,4,0,1.0,1.0,0,21828.0,23682.5,0,4,-0.15625,0.24322970110576547,-0.421,0.196,-0.15625,0.24322970110576547,0.28909297812295615,0.25425,0.75,3,0,1.0,1.0,0,25551.0,28995.0,0,4,53.851749999999996,0.2184701066507737,53.628,54.206,3.851750000000001,0.2184701066507737,3.8579408043670145,3.851750000000001,0.75,3,0,1.0,1.0,0,12822.0,14118.5,0
7,7,power_law,4.326,1.0,11943.0,-0.6740000000000004,0.6740000000000004,13.48000000000001,1,1,1.975,1.0,11973.0,-0.02499999999999991,0.02499999999999991,1.2499999999999956,1,1,4.253,1.0,5990.0,-0.7469999999999999,0.7469999999999999,14.939999999999998,1,1,2.38,1.0,7293.0,0.3799999999999999,0.3799999999999999,18.999999999999993,1,1,0.745,1.0,7688.0,-0.20499999999999996,0.20499999999999996,21.57894736842105,0,1,0.012,1.0,16573.0,0.002,0.002,20.0,1,1,0.309,1.0,39116.0,0.009000000000000008,0.009000000000000008,3.0000000000000027,1,1,18.975,1.0,7318.0,0.9750000000000014,0.9750000000000014,5.416666666666674,1,1,4,0.12925,0.11819554771648551,0.023,0.327,0.12925,0.11819554771648551,0.17514493997829342,0.12925,1.0,4,0,1.0,1.0,0,1950.0,13088.0,0,4,1.52875,0.4777867594440013,0.969,2.264,1.52875,0.4777867594440013,1.6016731095950882,1.52875,1.0,4,0,1.0,1.0,0,4604.0,7425.5,0,4,-0.11725000000000001,0.05138762010445706,-0.178,-0.056,-0.11725000000000001,0.05138762010445706,0.12801660048603072,0.11725000000000001,1.0,4,0,1.0,1.0,0,13901.0,28636.75,0,4,51.4475,1.079892239994342,50.213,53.095,1.4475000000000016,1.0798922399943423,1.8059411673695247,1.4475000000000016,1.0,4,0,1.0,1.0,0,4945.0,5694.25,0
8,8,power_law,6.65,1.0,19183.0,1.6500000000000004,1.6500000000000004,33.00000000000001,1,1,2.409,1.0,19353.0,0.4089999999999998,0.4089999999999998,20.44999999999999,1,1,5.31,1.0,22711.0,0.3099999999999996,0.3099999999999996,6.199999999999992,1,1,2.234,1.0,23294.0,0.23399999999999999,0.23399999999999999,11.7,1,1,0.762,1.0,17439.0,-0.18799999999999994,0.18799999999999994,19.78947368421052,0,1,0.003,1.0,45148.0,-0.007,0.007,70.0,0,1,0.29,1.0,56791.0,-0.010000000000000009,0.010000000000000009,3.3333333333333366,1,1,16.926,1.0,43116.0,-1.0740000000000016,1.0740000000000016,5.966666666666676,1,1,4,0.12625,0.05875531890816354,0.046,0.212,0.12625,0.05875531890816354,0.13925246855980686,0.12625,1.0,4,0,1.0,1.0,0,8947.0,16072.25,0,4,2.47825,0.5020679112430906,2.019,3.28,2.47825,0.5020679112430906,2.5285955093687877,2.47825,1.0,4,0,1.0,1.0,0,22021.0,25026.25,0,4,-0.022500000000000006,0.21204775405554288,-0.265,0.239,-0.022500000000000006,0.21204775405554288,0.21323812979858928,0.207,1.0,4,0,1.0,1.0,0,30733.0,37045.0,0,4,53.97925,0.8677359549425149,52.978,55.302,3.9792500000000004,0.8677359549425149,4.07276272940126,3.9792500000000004,1.0,4,0,1.0,1.0,0,13851.0,14724.0,0
9,9,power_law,4.033,1.0,15955.0,-0.9669999999999996,0.9669999999999996,19.339999999999993,1,1,1.958,1.0,15372.0,-0.04200000000000004,0.04200000000000004,2.100000000000002,1,1,5.111,1.0,29166.0,0.11099999999999977,0.11099999999999977,2.2199999999999953,1,1,1.756,1.0,22382.0,-0.244,0.244,12.2,1,1,0.773,1.0,15834.0,-0.17699999999999994,0.17699999999999994,18.631578947368414,0,1,0.011,1.0,49870.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.309,1.0,59742.0,0.009000000000000008,0.009000000000000008,3.0000000000000027,1,1,18.469,1.0,47499.0,0.4690000000000012,0.4690000000000012,2.6055555555555623,1,1,4,0.04075,0.01160549438843516,0.024,0.053,0.04075,0.01160549438843516,0.04237039060476077,0.04075,1.0,4,0,1.0,1.0,0,17406.0,22611.5,0,4,4.055000000000001,0.40584910989184136,3.585,4.688,4.055000000000001,0.40584910989184136,4.0752593169024225,4.055000000000001,1.0,4,0,1.0,1.0,0,12323.0,25147.5,0,4,-0.2045,0.068853104505171,-0.285,-0.113,-0.2045,0.068853104505171,0.21577998053572994,0.2045,1.0,4,0,1.0,1.0,0,31757.0,42232.75,0,4,54.269,2.4352549147881817,50.606,57.461,4.269,2.435254914788182,4.914756097712275,4.269,1.0,4,0,1.0,1.0,0,11421.0,12368.25,0
10,10,power_law,4.966,1.0,18661.0,-0.03399999999999981,0.03399999999999981,0.6799999999999962,1,1,2.134,1.0,18871.0,0.1339999999999999,0.1339999999999999,6.699999999999995,1,1,5.751,1.0,21641.0,0.7510000000000003,0.7510000000000003,15.020000000000005,1,1,2.395,1.0,21383.0,0.395,0.395,19.75,1,1,0.746,1.0,14172.0,-0.20399999999999996,0.20399999999999996,21.47368421052631,0,1,0.011,1.0,42984.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.306,1.0,45025.0,0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,18.682,1.0,34990.0,0.6819999999999986,0.6819999999999986,3.788888888888881,1,1,4,0.06275,0.038609422425102395,0.019,0.106,0.06275,0.038609422425102395,0.07367665844757076,0.06275,1.0,4,0,1.0,1.0,0,10322.0,19522.5,0,4,2.995,0.7235665138741565,2.107,3.892,2.995,0.7235665138741565,3.0811643091532783,2.995,1.0,4,0,1.0,1.0,0,10893.0,16953.0,0,4,-0.0205,0.07931740036082877,-0.129,0.094,-0.0205,0.07931740036082877,0.0819237450315841,0.0675,1.0,4,0,1.0,1.0,0,33286.0,37811.0,0,4,53.082499999999996,1.0149277067850684,52.125,54.653,3.0824999999999996,1.0149277067850684,3.2452865050716238,3.0824999999999996,1.0,4,0,1.0,1.0,0,13819.0,14866.5,0
11,11,power_law,4.84,1.0,15859.0,-0.16000000000000014,0.16000000000000014,3.200000000000003,1,1,1.992,1.0,14837.0,-0.008000000000000007,0.008000000000000007,0.40000000000000036,1,1,4.764,1.0,13290.0,-0.23599999999999977,0.23599999999999977,4.719999999999995,1,1,2.577,1.0,22945.0,0.577,0.577,28.849999999999998,1,1,0.743,1.0,13576.0,-0.20699999999999996,0.20699999999999996,21.789473684210524,0,1,0.007,1.0,43045.0,-0.003,0.003,30.0,1,1,0.311,1.0,50270.0,0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,17.031,1.0,40452.0,-0.9690000000000012,0.9690000000000012,5.38333333333334,1,1,4,0.06799999999999999,0.04189868733027325,0.017,0.116,0.06799999999999999,0.04189868733027325,0.07987177223525217,0.06799999999999999,1.0,4,0,1.0,1.0,0,11942.0,21589.75,0,4,1.76675,0.26235031446522034,1.332,2.036,1.76675,0.26235031446522034,1.7861224062196857,1.76675,1.0,4,0,1.0,1.0,0,7568.0,9318.5,0,4,0.009249999999999994,0.11781208554303756,-0.14,0.151,0.009249999999999994,0.11781208554303756,0.11817465887405812,0.11325000000000002,1.0,4,0,1.0,1.0,0,40846.0,42543.75,0,4,50.8205,1.2462580992715744,48.905,52.394,0.8204999999999991,1.2462580992715744,1.492105726816969,1.3679999999999986,1.0,4,0,1.0,1.0,0,5711.0,7176.75,0
12,12,power_law,5.177,1.0,17265.0,0.1769999999999996,0.1769999999999996,3.5399999999999916,1,1,2.087,1.0,17358.0,0.08700000000000019,0.08700000000000019,4.350000000000009,1,1,5.416,1.0,16048.0,0.41600000000000037,0.41600000000000037,8.320000000000007,1,1,2.565,1.0,16388.0,0.565,0.565,28.249999999999996,1,1,0.715,1.0,12824.0,-0.235,0.235,24.736842105263158,0,1,0.01,1.0,43946.0,0.0,0.0,0.0,1,1,0.314,1.0,41176.0,0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,16.794,1.0,45121.0,-1.2059999999999995,1.2059999999999995,6.6999999999999975,1,1,4,0.07125000000000001,0.02221907963890493,0.042,0.104,0.07125000000000001,0.02221907963890493,0.07463410748444708,0.07125000000000001,1.0,4,0,1.0,1.0,0,11028.0,17371.25,0,4,2.5475,1.0276199443373994,1.588,4.13,2.5475,1.0276199443373994,2.7469544954367193,2.5475,1.0,4,0,1.0,1.0,0,8128.0,10784.0,0,4,-0.07325000000000001,0.2218517241312314,-0.319,0.287,-0.07325000000000001,0.2218517241312314,0.23363165453337012,0.21675,1.0,4,0,1.0,1.0,0,20732.0,28483.5,0,4,52.31575,0.4092849710165298,51.724,52.747,2.3157499999999995,0.4092849710165298,2.3516403317684444,2.3157499999999995,1.0,4,0,1.0,1.0,0,7582.0,10487.0,0
13,13,power_law,5.032,1.0,13052.0,0.03200000000000003,0.03200000000000003,0.6400000000000006,1,1,2.11,1.0,14535.0,0.10999999999999988,0.10999999999999988,5.499999999999994,1,1,4.854,1.0,17860.0,-0.1459999999999999,0.1459999999999999,2.919999999999998,1,1,2.488,1.0,20449.0,0.488,0.488,24.4,1,1,0.737,1.0,13643.0,-0.21299999999999997,0.21299999999999997,22.421052631578945,0,1,0.007,1.0,41267.0,-0.003,0.003,30.0,1,1,0.301,1.0,38594.0,0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,18.911,1.0,41277.0,0.9110000000000014,0.9110000000000014,5.061111111111119,1,1,4,0.0645,0.028235615806991,0.023,0.098,0.0645,0.028235615806991,0.07040951640225915,0.0645,1.0,4,0,1.0,1.0,0,11436.0,18231.0,0,4,2.00225,0.7019249870890764,1.135,2.781,2.00225,0.7019249870890764,2.121721883282538,2.00225,1.0,4,0,1.0,1.0,0,7616.0,13292.25,0,4,-0.0655,0.22203209227496823,-0.44,0.104,-0.0655,0.22203209227496823,0.23149190050625962,0.16599999999999998,1.0,4,0,1.0,1.0,0,23442.0,33195.25,0,4,52.26475,0.7091376364994332,51.324,53.249,2.264750000000001,0.7091376364994332,2.3731769318784486,2.264750000000001,1.0,4,0,1.0,1.0,0,8937.0,10955.25,0
14,14,power_law,4.912,1.0,12042.0,-0.08800000000000008,0.08800000000000008,1.7600000000000016,1,1,2.039,1.0,12284.0,0.039000000000000146,0.039000000000000146,1.9500000000000073,1,1,5.355,1.0,19048.0,0.3550000000000004,0.3550000000000004,7.100000000000009,1,1,2.171,1.0,19005.0,0.17099999999999982,0.17099999999999982,8.54999999999999,1,1,0.749,1.0,13012.0,-0.20099999999999996,0.20099999999999996,21.1578947368421,0,1,0.008,1.0,45009.0,-0.002,0.002,20.0,1,1,0.306,1.0,42935.0,0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,16.408,1.0,40378.0,-1.5919999999999987,1.5919999999999987,8.844444444444438,1,1,4,0.07825,0.03381105588413352,0.053,0.136,0.07825,0.03381105588413352,0.08524230170519799,0.07825,1.0,4,0,1.0,1.0,0,6965.0,14663.0,0,4,2.84,0.6774160464588951,2.039,3.888,2.84,0.6774160464588951,2.9196733550176464,2.84,1.0,4,0,1.0,1.0,0,10516.0,15304.75,0,4,-0.1265,0.29648735217543426,-0.471,0.321,-0.1265,0.29648735217543426,0.32234608730369285,0.287,1.0,4,0,1.0,1.0,0,31730.0,37205.25,0,4,52.863,0.8476726962690243,51.926,54.16,2.8629999999999995,0.8476726962690243,2.9858529769565,2.8629999999999995,1.0,4,0,1.0,1.0,0,8598.0,9441.5,0
15,15,power_law,4.974,1.0,9713.0,-0.0259999999999998,0.0259999999999998,0.519999999999996,1,1,2.024,1.0,6712.0,0.02400000000000002,0.02400000000000002,1.200000000000001,1,1,4.634,1.0,16585.0,-0.36599999999999966,0.36599999999999966,7.319999999999993,1,1,2.569,1.0,5024.0,0.569,0.569,28.449999999999996,1,1,0.721,1.0,13659.0,-0.22899999999999998,0.22899999999999998,24.105263157894736,0,1,0.015,1.0,34311.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.302,1.0,50316.0,0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,17.237,1.0,30359.0,-0.7630000000000017,0.7630000000000017,4.238888888888899,1,1,4,0.087,0.028696689704563485,0.05,0.125,0.087,0.028696689704563485,0.09161058890761482,0.087,1.0,4,0,1.0,1.0,0,10323.0,14935.75,0,4,2.193,0.7229069788015606,1.2,3.238,2.193,0.7229069788015606,2.3090784958506716,2.193,1.0,4,0,1.0,1.0,0,9838.0,17250.0,0,4,-0.05124999999999999,0.18576379491171038,-0.288,0.227,-0.05124999999999999,0.18576379491171038,0.19270378823468937,0.16475,1.0,4,0,1.0,1.0,0,8508.0,22613.5,0,4,53.07175,1.4536740306891358,51.587,55.442,3.0717499999999998,1.4536740306891358,3.3983549329050367,3.0717499999999998,1.0,4,0,1.0,1.0,0,9369.0,11913.5,0
16,16,power_law,3.545,1.0,10213.0,-1.455,1.455,29.100000000000005,1,1,1.823,1.0,12267.0,-0.17700000000000005,0.17700000000000005,8.850000000000001,1,1,4.335,1.0,19379.0,-0.665,0.665,13.3,1,1,2.733,1.0,24893.0,0.7330000000000001,0.7330000000000001,36.650000000000006,1,1,0.765,1.0,13627.0,-0.18499999999999994,0.18499999999999994,19.473684210526308,0,1,0.014,1.0,39811.0,0.004,0.004,40.0,1,1,0.304,1.0,34308.0,0.0040000000000000036,0.0040000000000000036,1.3333333333333346,1,1,18.667,1.0,29618.0,0.6670000000000016,0.6670000000000016,3.7055555555555646,1,1,4,0.04925,0.015578430601315396,0.028,0.072,0.04925,0.015578430601315396,0.05165510623355643,0.04925,1.0,4,0,1.0,1.0,0,13705.0,14811.5,0,4,1.4125,0.4772591015371001,0.696,1.999,1.4125,0.4772591015371001,1.490950200375586,1.4125,1.0,4,0,1.0,1.0,0,4629.0,8368.0,0,4,0.156,0.11538414102466595,0.044,0.346,0.156,0.11538414102466595,0.19403479069486482,0.156,0.75,3,0,1.0,1.0,0,28062.0,34210.5,0,4,50.522000000000006,1.1711803874724003,48.538,51.501,0.5219999999999985,1.1711803874724,1.2822431516682005,1.2530000000000001,1.0,4,0,1.0,1.0,0,8023.0,8824.75,0
17,17,power_law,3.903,1.0,18232.0,-1.097,1.097,21.939999999999998,1,1,1.781,1.0,18832.0,-0.21900000000000008,0.21900000000000008,10.950000000000005,1,1,5.117,1.0,21743.0,0.11699999999999999,0.11699999999999999,2.34,1,1,2.955,1.0,25541.0,0.9550000000000001,0.9550000000000001,47.75,1,1,0.727,1.0,14272.0,-0.22299999999999998,0.22299999999999998,23.473684210526315,0,1,0.008,1.0,45936.0,-0.002,0.002,20.0,1,1,0.303,1.0,35109.0,0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,18.072,1.0,37843.0,0.07199999999999918,0.07199999999999918,0.3999999999999954,1,1,4,0.044750000000000005,0.01830812661087966,0.026,0.075,0.044750000000000005,0.01830812661087966,0.04835028438385859,0.044750000000000005,1.0,4,0,1.0,1.0,0,15242.0,23857.25,0,4,1.8392499999999998,0.45018461490815076,1.16,2.331,1.8392499999999998,0.45018461490815076,1.8935434375793971,1.8392499999999998,1.0,4,0,1.0,1.0,0,9333.0,16172.25,0,4,-0.035,0.14214956911647675,-0.261,0.127,-0.035,0.14214956911647675,0.1463950135762827,0.11050000000000001,1.0,4,0,1.0,1.0,0,27057.0,35833.5,0,4,52.31625,1.020908755717179,51.424,54.053,2.3162499999999984,1.020908755717179,2.5312583333196144,2.3162499999999984,1.0,4,0,1.0,1.0,0,12961.0,14293.0,0
